Name,Filename,Date,Base-Dataset,Description,Bias in Matrix-A,Normals,Anomaly-Size,Total-Size,ROC-AUC,AUC Score,Reference AUC Score
DS1_Other-Class-9-6,AnoClassMNIST_9_6_20Percent_200823.zip,20.08.2023,MNIST,"Normals 9, Anomalies 6",false,706,144,850,ROC_AUC_9_6_20_percent.png,0.94,0.73
DS2_Lined,LatentSpaceMNIST_lined_original_backup_200823.zip,20.08.2023,MNIST,"Normals 9, Anomalies 9 with horizontal line on random height",false,863,295,1158,ROC_AUC_lined_30_percent.png,0.58,0.74
